creative_id,angle,lang,format,launch_date,spend,impressions,clicks,leads,cpl,status
bd_curate_en_sq_v01,curate,en,sq,,,,,,,test
bd_curate_en_st_v01,curate,en,st,,,,,,,test
bd_curate_ru_sq_v01,curate,ru,sq,,,,,,,test
bd_curate_ru_st_v01,curate,ru,st,,,,,,,test
bd_brief_en_sq_v01,brief,en,sq,,,,,,,test
bd_brief_en_st_v01,brief,en,st,,,,,,,test
bd_brief_ru_sq_v01,brief,ru,sq,,,,,,,test
bd_brief_ru_st_v01,brief,ru,st,,,,,,,test
bd_bulk_en_sq_v01,bulk,en,sq,,,,,,,test
bd_bulk_en_st_v01,bulk,en,st,,,,,,,test
bd_bulk_ru_sq_v01,bulk,ru,sq,,,,,,,test
bd_bulk_ru_st_v01,bulk,ru,st,,,,,,,test
bd_delivered_en_sq_v01,delivered,en,sq,,,,,,,test
bd_delivered_en_st_v01,delivered,en,st,,,,,,,test
bd_delivered_ru_sq_v01,delivered,ru,sq,,,,,,,test
bd_delivered_ru_st_v01,delivered,ru,st,,,,,,,test
bd_curate_en_stv_v01,curate,en,stv,,,,,,,test
bd_curate_ru_stv_v01,curate,ru,stv,,,,,,,test
bd_delivered_en_stv_v01,delivered,en,stv,,,,,,,test
bd_delivered_ru_stv_v01,delivered,ru,stv,,,,,,,test
