Товар,Количество,Цена за шт (THB),Сумма (THB)
Domaine Migot Methode Traditionnelle Blanc de Noirs Brut,17,1200,19141
Catena DV Tinto Historico Red,14,1215 / 1230,16243
Renieri Brunello di Montalcino Magnum,1,7560,7560
Catena Malbec 2020,6,1150 / 1200,6736
"Marcello Del Majno Prosecco Brut, 0.75",12,625,6354
Alamos Malbec,7,749 / 890,5873
Lagille Au Fil du Temps Brut 2005,1,5550,5280
Faiveley Gevrey Chambertin 1 Er Cru La combe Aux Moines,1,5240,5240
Mirumiru Hunters,3,1600,4560
Caze Naturellement Brut Nature,1,4800,4320
Paul Bara Champagne Grand Millesime Brut 2016,1,4790,4311
Saint Antoine Chablis Grand Cru Les Clos 2021,1,4490,4044
Chateau Montelena Chardonnay,1,4175,3758
Henri Giraud Esprit Brut Nature NV,1,3700,3700
Vilmart Grand Celler Brut 1er Cru,1,3800,3420
La Burgondie Cremant de Bourgogne Blanc de Noirs Brut,3,1130,3334
Three Finger Jack Old Vine Zinfandel,3,1130,3133
LV louis Vavasour Chadonnay,1,3100,3100
P Louis Martin Grand Cru Extra Brut,1,2990,2741
Adulation Chardonnay 2020,3,920,2714
House of cards Cab is King,1,2050,1948
Ernesto Catena Vineyards Alma Negra 0.75-2019,1,1690,1690
Millesimato Extra Brut Contratto,1,1820,1669
Llopart Brut Nature Reserva 2019,1,1700,1635
Two Hands Angels Share Shiraz McLaren 2022,1,1675,1594
Chateau La Bessane - Margaux,1,1590,1590
Chateau Laffitte Carcasset,1,1490,1490
Tanqueray Gin,1,1349,1349
Valiano poggio teo chianti classico riserva 2019 0.75,1,1290,1226
Bread&Butter Chardonay 2022,1,1200,1200
Simonnet Febvre Petit Chablis 2023,1,1190,1190
Murphy Goode Merlot,1,1100,1100
Raventos I Blanc Blanc de Blancs 2021,1,1095,1095
Banfi Chianti Classico 21,1,1090,1030
Aperol (Barbieri) Aperitivo 70cl,1,1130,974
Gnarly Head Old Vine Zinfandel,1,940,940
Ch.Rouanne brut nature rose,1,1040,936
Cembra Pinot Nero Trentino DOC,1,970,921
Tenjaku 70cl,1,899,899
Reguta Carant,1,880,792
London Gin Langley's,1,790,790
Granmonte Sakuna Rose,1,790,750
Teerra Sagrada almaule Pais Baron Philippe de Rothschild,1,790,711
Ruggeri Argeo Prosecco Rose Brut,1,720,648
Edenvale Shiraz,1,559,531
Chips Truffles: Chips with truffle 100g Italy,2,270,510
Wine Decanter,1,590,508
Olives Gordal 360g Spain,2,240,480
Grissini Truffle Breadsticks 120g Italy,2,285,475
Fuet Catalan/Catalonian dried sausages 150gr,1,460,427
180g Grana Padano Cheese 16 Months,1,240,231
170g Grana Padano cheese 16months,1,230,230
175g Grana Padano Cheese 16 months,1,225,209
Delirium Tremens Strong Blond Ale 33cl,1,219,208
Olives Finger Licking 370g Spain,1,189,189
Bread Picos Artisan 200 gr Spain,1,195,162
Heineken 0%,2,54,108
ИТОГО,120,,147995
