Товар,Bank Transfer — шт,Bank Transfer — THB,Card — шт,Card — THB,Cash — шт,Cash — THB,QR — шт,QR — THB,Итого шт,Итого THB
Louis Roederer Cristal Brut 2015,0,0,1,13900,0,0,0,0,1,13900
Czar's Vodka Original 1L,7,6067,0,0,0,0,0,0,7,6067
Aegerter Gevrey charnbertin,0,0,1,3750,0,0,0,0,1,3750
Ant Moore Sauvingon Blanc,6,3724,0,0,0,0,0,0,6,3724
Chateau Tamagne Nude Saperavi Red Dry,6,3694,0,0,0,0,0,0,6,3694
Edenvale Sauvignonn Blanc,0,0,0,0,0,0,3,1677,3,1677
Champagne Delot Blanc de Noirs Brut,0,0,0,0,1,1416,0,0,1,1416
ABRAU DURSO White RESERVE,2,1089,0,0,0,0,0,0,2,1089
Muriel Vino De Elciego Rioja Reserva DOCa,0,0,1,990,0,0,0,0,1,990
"Barrister MumbaiGin 0,7L",0,0,1,980,0,0,0,0,1,980
Aristov Cuvee Alexander Blanc de Blancs Extra Brut,0,0,1,899,0,0,0,0,1,899
Hofbrau Original 50cl,0,0,0,0,0,0,5,845,5,845
Calrossie Vineyard,0,0,1,795,0,0,0,0,1,795
Long Barn Chardonnay,0,0,1,769,0,0,0,0,1,769
Granmonte Spring Chenin Blanc,0,0,1,760,0,0,0,0,1,760
Val De Loire Frorian Mollet Chenin Blanc,0,0,1,745,0,0,0,0,1,745
Nik weis urban Riesling,0,0,0,0,1,739,0,0,1,739
Aristov Riesling White Dry,0,0,1,735,0,0,0,0,1,735
Kapuka Sauvignon Blanc 2021,0,0,1,685,0,0,0,0,1,685
Duc de Chagny cuvee reserve brut,0,0,1,569,0,0,0,0,1,569
HongThong 70cl,0,0,1,350,0,0,0,0,1,350
Paulaner Hefe weissbier,0,0,1,240,0,0,0,0,1,240
SangSom 30cl,0,0,1,190,0,0,0,0,1,190
Estrella Damm lemon 330 ml,0,0,1,178,0,0,0,0,1,178
B Leffe Blonde,0,0,1,175,0,0,0,0,1,175
Heineken 0%,0,0,1,54,0,0,1,54,2,108
Corona Beer,0,0,1,90,0,0,0,0,1,90
